,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
88,Fri May 31 00:39:19 +0000 2024,1,udah gue duga nggak truk zaman angkot jakarta skrg perhatikan angkot biru a banget ketemu supir underage ugalan,1796340649421320635,in,"Jakarta Barat, DKI Jakarta",0,0,1,SonoraFM92,Jakarta-angkot.csv
89,Wed Mar 27 08:41:43 +0000 2024,1,mimin pingin tau nih kenangan angkot wilujeng enjing cemunguutt cim infocimahi cimahi kotacimahi bandung jawabarat jakarta pagi semangat angkot,1772906835584139721,in,"Melbourne, Victoria",0,0,0,catsbutanything,Jakarta-angkot.csv
90,Fri May 10 00:19:17 +0000 2024,0,suzuki carry disulap warnai angkot jakarta gooto,1788725460895199262,in,,0,0,0,infocimahico,Jakarta-angkot.csv
91,Fri Apr 26 05:09:34 +0000 2024,5,sopir angkot jakarta utara mengaku menombok uang setoran sewa angkot akibat sepinya penumpang,1783725083615449332,in,Indonesia,0,0,0,tempodotco,Jakarta-angkot.csv
92,Tue May 21 02:07:08 +0000 2024,1,jakarta sistem kuota total angkot konvesional dpt kuota mikrotrans,1792738869772959834,in,Jakarta,0,1,1,kompascom,Jakarta-angkot.csv
93,Thu Feb 29 11:47:52 +0000 2024,2,duuhh sayang angkutan kota angkot jakarta blm diseragamin jaklingko enak gapake ngetem trs supirnya nyetirnya jg ugalan ngerokok sepengalaman gue sih,1763169211755716916,in,Jakarta Capital Region,0,1,0,TfJakarta,Jakarta-angkot.csv
94,Fri May 31 16:34:08 +0000 2024,0,lalinsonora lintas macet ace hardware intercon arah pom meruya kembangan akibat angkot biru ngetem,1796580933396824576,in,,0,1,0,zagiputr,Jakarta-angkot.csv
95,Thu Mar 14 09:01:35 +0000 2024,0,jakarta angkot to apakanat jaklingo,1768200792098652544,in,"Jakarta Barat, DKI Jakarta",0,0,0,SonoraFM92,Jakarta-angkot.csv
96,Fri May 10 23:16:28 +0000 2024,24,pesawat pas jakarta pesawat pas bokap meninggal tj pas abis ngegep mantan selingkuh jaraknya halte karet benhil angkot sekolah dapet ranking,1789072042362556758,in,neng pelukanmu,0,17,0,raslokal,Jakarta-angkot.csv
97,Fri Mar 08 14:16:48 +0000 2024,1,cm need respondents bantu isi kuisionerku yuk butuh responden deadlinenya besok kriterianya transportasi jakarta mrt krl lrt angkot tj saldo rpk orang beruntung linknya twt,1766105795094343755,in,above ur tweets,0,3,0,GodikaGo,Jakarta-angkot.csv
98,Fri May 10 12:44:45 +0000 2024,0,layanan transjakarta m rute pulo gadung wali kota jakarta utara beroperasi dinas perhubungan dki jakarta syafrin liputo mengakui rute penolakan sopir angkot transjakarta angkot medcomid,1788913066002018608,in,,0,0,0,collegemenfess,Jakarta-angkot.csv
99,Thu May 09 08:10:00 +0000 2024,0,bicara transportasi serasa pindah planet jakarta udah krl mrt lrt tj jaklingko angkot bandung jam malam udah pd pulang ojol fluktuatif kdg murah kdg mahal beli mio mirza bekas harga jtan servis cvt dlu biar kuat nanjak,1788481531767562427,in,"Jakarta Capital Region, Indone",0,0,0,medcom_id,Jakarta-angkot.csv
100,Tue Apr 02 03:03:19 +0000 2024,1,bukti nyata warga jakarta menikmatin angkot gratis,1774996001218326960,in,Kota Makassar,0,1,0,syanuwarfitrah,Jakarta-angkot.csv
101,Sun Jun 02 04:41:12 +0000 2024,0,angkot mikrotrans jaklingko suka salah capres dulunya menggagas perbaikan angkot jakarta aneh it doesn t make sense at all,1797126294309839028,in,,0,0,0,jarnas_dki,Jakarta-angkot.csv
102,Sun Mar 31 14:44:00 +0000 2024,3,angkot terminal tanjung priok jakarta utara mengalami peremajaan pembaruan bergabung jaklingko,1774447558112489574,in,Depok,0,0,1,AlvianWidyatama,Jakarta-angkot.csv
103,Tue May 21 00:47:09 +0000 2024,1,dinas perhubungan dishub dki jakarta komunikasi sopir angkot terkait layanan bus transjakarta m rute pulo gadung wali kota jakarta utara,1792718742570643808,in,Jakarta,0,0,0,kompascom,Jakarta-angkot.csv
104,Thu May 09 09:27:37 +0000 2024,0,keterbatasan biaya amsori memilih mengontrak rumah tidur angkot sewaannya,1788501063877943359,in,Jakarta - Indonesia,0,1,0,mediaindonesia,Jakarta-angkot.csv
105,Fri May 24 00:04:12 +0000 2024,0,aggaran tersedianya penyebab angkot reguler jakarta utara jakut bergabung jaklingko,1793795097253102004,in,Jakarta,0,0,0,kompascom,Jakarta-angkot.csv
106,Sun May 26 04:12:34 +0000 2024,1,mobil cobain mobil travel cikarang jakarta angkot depok beserta macetnya angkot alphard beda banget krl mrt wlw kereta beda banget cok,1794582375571333300,in,Jakarta,1,0,0,kompascom,Jakarta-angkot.csv
